F,Code abbreviation,Full code name,Definition,Tweaks/ideas/notes (w/ initials),,Consensus?,,,,,,,,,,,,,,,,,,,,,
Consensus,B-I,Barrier - Institutional ,Participant describes a barrier to engaging in an OS practice that is related to rules/regulations/procedures of their institution (consider extending the B-LIS code),,,TRUE,,,,,,,,,,,,,,,,,,,,,
Consensus,B-ID,Barrier - Identifiable Data,"A barrier to OS (e.g., open data sharing) is identifiable data, such as audio recordings",,,TRUE,,,,,,,,,,,,,,,,,,,,,
Consensus,B-IRB,Barrier - IRB,"IRB is a barrier to adopting OS practices (e.g., IRB rules prevent sharing of data)",,,TRUE,,,,,,,,,,,,,,,,,,,,,
Consensus,B-KJP,Barrer - Knowledge Journal Policies ,"Participant does not have the knowledge of the journal policies, OR that having to seek out the journal policies is a barrier",,,TRUE,,,,,,,,,,,,,,,,,,,,,
Consensus,B-KOP,Barrier - Knowledge of Procedures,Opposite of F-KOP. Participant expresses that a lack of knowledge of procedures for using OS practices prevents them from using these practices.,,,TRUE,,,,,,,,,,,,,,,,,,,,,
Consensus,B-LOB,Barrier - Lack of Benefit ,"Participant expresses that they do not see much benefit, or they do not know the benefits to themselves, to using an OS practice",,,TRUE,,,,,,,,,,,,,,,,,,,,,
Consensus,B-LOC,Barrier - Lack of Confidence,Participant expresses concern about engaging in OS due to lack of confidence/imposter syndrome related to their own research skills/abilities,Maybe this can also include when participants express that they feel like a lousy/bad researcher when they don't engage in an OS practice,,TRUE,,,,,,,,,,,,,,,,,,,,,
Consensus,B-LOO,Barrier - Lack of Organization,Participant expresses that their organizational practices are a barrier to engaging in an OS practice.,,,TRUE,,,,,,,,,,,,,,,,,,,,,
Consensus,B-M,Barrier - Money,"Money is a barrier to adopting OS practices. They do not have the money, or feel like they cannot obtain it.",,,TRUE,,,,,,,,,,,,,,,,,,,,,
Consensus,B-NE,Barrier - No Expectations,Participant describing that a barrier to engaging in an OS practice is that there aren't any external expectations or requirements to do so such as a tenure committee,,,TRUE,,,,,,,,,,,,,,,,,,,,,
Consensus,B-OA,Barrier - Open Access,Barriers related to Open Access,,,TRUE,,,,,,,,,,,,,,,,,,,,,
Consensus,B-OD,Barrier - Open Data,Barriers related to open data,,,TRUE,,,,,,,,,,,,,,,,,,,,,
Consensus,B-OM,Barrier - Open Materials,Participant describes a barrier related to open materials,,,TRUE,,,,,,,,,,,,,,,,,,,,,
Consensus,B-OPR,Barrier - Open Peer Review,Participant was concerned about open peer review process,,,TRUE,,,,,,,,,,,,,,,,,,,,,
Consensus,B-OS,Barrier - Open Science,A barrier to engaging in open science (specific practice not specified),,,TRUE,,,,,,,,,,,,,,,,,,,,,
Consensus,B-PC,Barrier - Poor Credibility,"Participant beleives a barrier to open access journals is that they have poor credibility, appear to be scams, or offer a quick & dirty publication for a fee, general stigma around OA journals (E.x., predatory journal)",,,TRUE,,,,,,,,,,,,,,,,,,,,,
Consensus,B-PD,Barrier - Power Dynamics,"Power dynamics as a barrier, e.g., senior researcher knowing who reviewed them in peer review, a reviewer rejecting work in the peer review process",,,TRUE,,,,,,,,,,,,,,,,,,,,,
Consensus,B-PR,Barrier - Preregistration,Barriers related to PR,,,TRUE,,,,,,,,,,,,,,,,,,,,,
Consensus,B-PT,Barrier - Publication Timeline,"Participant perceives the timeline for publication in an OA journal is very long, and is a barrier for publishing in OA journals.",,,TRUE,,,,,,,,,,,,,,,,,,,,,
Consensus,B-R,Barrier - Resources,Participant expresses they have a lack of or limited resources to engage in an OS practice (either directly from their institution or broadly). Not money!!,,,TRUE,,,,,,,,,,,,,,,,,,,,,
Consensus,B-RV,Barrier - Reviewers,Participant expresses that they have concerns about integrating reviewer feedback  into an OS practice (e.g. needing to edit preregistrations based on different sets of reviewers),Person who made this comment may be mixing up pre-regristration with registered reports,,TRUE,,,,,,,,,,,,,,,,,,,,,
Consensus,B-SA,Barrier- Self-Archiving,Participant discusses a barrier they face that prevents them from self-archiving or makes it difficult to self-archive,,,,,,,,,,,,,,,,,,,,,,,,
Consensus,B-SD,Barrier - Study Design,Participant describes how they perceive a part of their study design to be a barrier to adopting OS practices,,,TRUE,,,,,,,,,,,,,,,,,,,,,
Consensus,B-SL,Barrier - Storage Limit,A barrier to participating in OS (ex. posting open data) is the storage limit of the platform/resource they are using,,,TRUE,,,,,,,,,,,,,,,,,,,,,
Consensus,B-T,Barrier - Time,Participant expresses they dont have time or that it takes additional time to engage in a specific OS practice,,,TRUE,,,,,,,,,,,,,,,,,,,,,
Consensus,B-TE,Barrier - Training Experience,"Participant expresses that a barrier to engaging in an OS practice is the fact that they have no training, or were trained to NOT do an OS practice.",,,TRUE,,,,,,,,,,,,,,,,,,,,,
Consensus,B-TL,Barrier - Teaching Load,Participant expresses their large teaching load is a barrier to engaging in OS,,,TRUE,,,,,,,,,,,,,,,,,,,,,
Consensus,B-W,Barrier - Where,"Participant expresses they don't know where to post preregistrations, self-archived manuscripts, their data, open educational resources, etc.",,,TRUE,,,,,,,,,,,,,,,,,,,,,
Consensus,B-WR,Barrier - Waste of Resources ,"Participant expresses paying OA is a waste of resources. (E.g., when NIH funded study will become public anyway)",,,TRUE,,,,,,,,,,,,,,,,,,,,,
Consensus,CI-A,Career Impact - Advantage,Participant believes that engaging in an OS practices gives them an advantage to doing their research,,,TRUE,,,,,,,,,,,,,,,,,,,,,
Consensus,CI-C,Carrier Impact-(Increased) Confidence,Participant expresses that using OS practices increases their confidence in their research,,,TRUE,,,,,,,,,,,,,,,,,,,,,
Consensus,CI-FC,Career Impacts - Find Collaborators,Participant expresses OS practice(s) help them increase the number of collaborators they work with.,,,TRUE,,,,,,,,,,,,,,,,,,,,,
Consensus,CI-LA,Career Impacts - Larger Audience,Participant expresses OS practices will make them more known to stakeholders and community member (e.g. getting their name out there),,,TRUE,,,,,,,,,,,,,,,,,,,,,
Consensus,CI-MC,Career Impact - More Citations,"OS will get them more citations (e.g., if articles were published OA)",,,TRUE,,,,,,,,,,,,,,,,,,,,,
Consensus,CI-MP,Career Impact - More Publishing,OS will help them publish more/expedite the process of publishing,,,TRUE,,,,,,,,,,,,,,,,,,,,,
Consensus,CI-MR,Career Impact - More Research,"Participant expresses that OS practices would allow them to conduct more research, such as using secodnary data analysis so they don't have to collect their own data",E.g. secondary data analysis,,TRUE,,,,,,,,,,,,,,,,,,,,,
Consensus,CI-MT,Career Impact - More Time,"Participant mentioned that OS would give them more time for other activities, including research",,,TRUE,,,,,,,,,,,,,,,,,,,,,
Consensus,CI-PT,Career Impact - Promotion & Tenure,Adopting OS will make it easier to get tenure,,,TRUE,,,,,,,,,,,,,,,,,,,,,
Consensus,CI-R,Career Impact- Reputation,"Adopting OS will help them establish their reputation in the field, establish a name for themselves",,,TRUE,,,,,,,,,,,,,,,,,,,,,
Consensus,CI-RR,Career Impact - Research Reproducibility,Participant expresses that OS has the potential to increase their research reproducibility of THEIR work.,,,TRUE,,,,,,,,,,,,,,,,,,,,,
Consensus,CI-SR,Career Impacts - Support Research,"Participant expresses that adopting OS practices would make others more likely to support their research (e.g., participants in the community)",another example: people have more faith in the researcher,,TRUE,,,,,,,,,,,,,,,,,,,,,
Consensus,DUR,Data upon request,Data is available upon request (but not fully available/open),,,TRUE,,,,,,,,,,,,,,,,,,,,,
Consensus,E-OS,Excited - Open science,sharing that they're excited about open science practices,,,TRUE,,,,,,,,,,,,,,,,,,,,,
Consensus,F-ACM,Facilitator - Accounting for Changing Methods,"Accounting for changing methods, like a participant may mention a flow chart",,,TRUE,,,,,,,,,,,,,,,,,,,,,
Consensus,F-B,Facilitator-Benefit,Participant describes that a facilitator to using an OS practice would be receiving a direct benefit in some way,,,TRUE,,,,,,,,,,,,,,,,,,,,,
Consensus,F-CR,Facilitator-Central Resource,"Participant describing that a facilitator to engaging in OS would be having a central place to reference or engage with others (e.g., to look up journal policies, share OERs)",,,TRUE,,,,,,,,,,,,,,,,,,,,,
Consensus,F-CS,Facillitator - Collaboration/Colleague Support,Participant expresses that having support from colleagues or mentors would facillitate their use of OS practices.,,,TRUE,,,,,,,,,,,,,,,,,,,,,
Consensus,F-DC,Facilitator - Data Collection,Discussing how data collection process facilitates OS practices,,,TRUE,,,,,,,,,,,,,,,,,,,,,
Consensus,F-DID,Facilitator - De-Identified Data,Data is unidentifiable or has been de-identified and that facilitates OS (ex. data sharing),,,TRUE,,,,,,,,,,,,,,,,,,,,,
Consensus,F-E,Facilitator- Expectation,"Opposite of B-NE. Participant describes that a facilitator to using an OS practice would be their department/university having expectations for them to do it (e.g., for tenure/promotion)",,,TRUE,,,,,,,,,,,,,,,,,,,,,
Consensus,F-ETU,Facilitator - Easy To Use,Participant expresses that they used an OS practice because it was easy to use,,,TRUE,,,,,,,,,,,,,,,,,,,,,
Consensus,F-IS,Facilitator - Institutional Support,"Institutional support (e.g., libraries, repositories) facilitates OS practices",,,TRUE,,,,,,,,,,,,,,,,,,,,,
Consensus,F-KOP,Facilitator - Knowledge of Procedures,Participant expresses that knowing what is required for an OS practice would help them engage in OS practices (e.g. knowing grant/funding policies for sharing data) ,,,TRUE,,,,,,,,,,,,,,,,,,,,,
Consensus,F-M,Facilitator - Money,"Opposite of B-M. Participant describes an instance when they were provided with funds for publishing OA or it was free to publish OA. Or, in general, a participant expresses that a facillitator to engaging in an OS practice is that its free to do (E.g., OSF is free to use)",May be double coded with institutional support,,TRUE,,,,,,,,,,,,,,,,,,,,,
Consensus,F-NIH,Facilitator - NIH,"NIH policies (e.g., new rules for data sharing) actively facilitate OS",,,TRUE,,,,,,,,,,,,,,,,,,,,,
Consensus,F-OA,Facilitator - Open Access,"Facilitator for open access (e.g., journal publishing manuscript as OA for free)",,,TRUE,,,,,,,,,,,,,,,,,,,,,
Consensus,F-OD,Facilitator - Open Data,Facilitator for open data,,,TRUE,,,,,,,,,,,,,,,,,,,,,
Consensus,F-OER,Facilitator - Open Educational Resources,Facilitator for engaging in sharing open educational resources,,,TRUE,,,,,,,,,,,,,,,,,,,,,
Consensus,F-OS,Facilitator - Open Science,A facilitator for engaging in open science (specific practice not specified),,,TRUE,,,,,,,,,,,,,,,,,,,,,
Consensus,F-P,Facillitator - Procedure,"Participant says that having a procedure, template, example language or step-by-step guide is what helps them engage in an OS practice",,,TRUE,,,,,,,,,,,,,,,,,,,,,
Consensus,F-PW,Facilitator- Power,Participant expresses that a power dynamic may allow them to engage in an OS practice,,,TRUE,,,,,,,,,,,,,,,,,,,,,
Consensus,F-PR,Facilitator - Preregistration,"Facilitator for preregistration (e.g., having data collected already so they feel confident about their stats plan)",,,TRUE,,,,,,,,,,,,,,,,,,,,,
Consensus,F-R,Facillitator-Resources,Pariticpant expresses that having non-institutional resources helps them engage in OS practices,,,TRUE,,,,,,,,,,,,,,,,,,,,,
Consensus,F-RV,Facilitator - Reviews,"Participant expresses a facilitator for using OS practices (particularly PR) would be if it was a ""surefire"" way to get peer reviews.",,,TRUE,,,,,,,,,,,,,,,,,,,,,
Consensus,F-S,Facilitator - students,Participant expresses that having students in the lab helps with being able to engage in OS practices (e.g. students being able to format a preprint for self-archiving),,,TRUE,,,,,,,,,,,,,,,,,,,,,
Consensus,F-SA,Facilitator - Self Archiving,Facilitator for engaging in the self-archiving process,,,TRUE,,,,,,,,,,,,,,,,,,,,,
Consensus,F-SD,Facillitator - Study Design,"Opposite of B-SD. Participant expresses how their study design may lend itsself to engaging in an OS practice. Like they're super familiar with their study desgin, which increases their comfort with preregistering their study",,,TRUE,,,,,,,,,,,,,,,,,,,,,
Consensus,F-SE,Facilitator- Supportive Evidence,Participant expresses that they believe having scientific data backing the benefit of using the OS would facilitate their engagement in the practice,,,TRUE,,,,,,,,,,,,,,,,,,,,,
Consensus,F-T,Facilitator - Time,Participant says having more time would help facilitate their use of OS practices,,,TRUE,,,,,,,,,,,,,,,,,,,,,
Consensus,F-TE,Facilitator - Training Experience,Discussing how training in OS practices would facilitate adoption of them,,,TRUE,,,,,,,,,,,,,,,,,,,,,
Consensus,F-W,Facilitator - Where,"Participant expresses that knowing where to post data, etc would help them engage in OS practices",Keep separate since we have Barrier - Where? Or lump into F-KOP?,,TRUE,,,,,,,,,,,,,,,,,,,,,
Consensus,F-WG,Facilitator-Working Group,Participant expresses a preference for working with a group as a facilitator for engaging in OS practices,,,TRUE,,,,,,,,,,,,,,,,,,,,,
Consensus,I-OD,Intention - Open Data,Expressing a desire to share data openly in the future,,,TRUE,,,,,,,,,,,,,,,,,,,,,
Consensus,I-OS,Intention - Open Science,Expressing a desire to use an OS practice in the future,,,TRUE,,,,,,,,,,,,,,,,,,,,,
Consensus,I-PR,Intention - Preregistration,Participant intends to preregister a study in the future,,,TRUE,,,,,,,,,,,,,,,,,,,,,
Consensus,I-SA,Intention- Self-Archive,Participant intends to self-archive in the future,,,,,,,,,,,,,,,,,,,,,,,,
Consensus,IE-OA,Inequitable - Open Access,Participant expresses that the process of open access is inequitable for researchers,,,TRUE,,,,,,,,,,,,,,,,,,,,,
Consensus,Imp-OS,Importance of Open Science,Stating that they think OS is important,,,TRUE,,,,,,,,,,,,,,,,,,,,,
Consensus,IOS-A,Impact of OS - Increased Accessibility,Participant expresses that os may make research more accessible,,,TRUE,,,,,,,,,,,,,,,,,,,,,
Consensus,IOS-CB,Impact of OS - Consumer Benefits,Participant expresses that being a consumer of OS practices (downloading someones code or stimuli) has been very beneficial to their research practices.,,,TRUE,,,,,,,,,,,,,,,,,,,,,
Consensus,IOS-D,Impact of OS - Doubt/doubtful,"Participant expresses doubt of the impact of OS, seems wary of if OS would have a positive effect",,,TRUE,,,,,,,,,,,,,,,,,,,,,
Consensus,IOS-IC,Impact of OS - Impact on Community,"Participant expresses that OS practices has a positive impact on stakeholders in the community, such as more support for the research (e.g., participants)",,,TRUE,,,,,,,,,,,,,,,,,,,,,
Consensus,IOS-LF,Impact of OS - Legitimize Field,Participant describes how using OS practices might legitimize our field and increase recognition of CSD as a scientific field,,,TRUE,,,,,,,,,,,,,,,,,,,,,
Consensus,IOS-LS,Impact of OS - Larger Sample,Participant discusses that having more accessible data can increase sample size that you are working with which in turn increases the study power (esp. if used to working with small n),,,TRUE,,,,,,,,,,,,,,,,,,,,,
Consensus,IOS-MA,Impact of OS - Meta-Analysis,Meta analyses are easier to conduct with easier access to data/research,,,TRUE,,,,,,,,,,,,,,,,,,,,,
Consensus,IOS-RA,Impact of OS - Researcher Accountability,"Participant expresses that OS practices would help increase the researcher's accountability (e.g., comments made during OPR or researcher holding themselves more accountable due to engaging in OS practice)",,,TRUE,,,,,,,,,,,,,,,,,,,,,
Consensus,IOS-RB,Impact of OS - Reduce Bias,"Participant beleives OS has the potential to reduce bias in research (e.g., make everyones research accessible, not just the research from well funded labs, which have historically been white male led)",,,TRUE,,,,,,,,,,,,,,,,,,,,,
Consensus,IOS-RPG,Impact of OS - Research to Practice Gap,Closing the RPG using OS,,,TRUE,,,,,,,,,,,,,,,,,,,,,
Consensus,IOS-RR,Impact of OS - Research Replication,Participant expresses that replication of research is an impact of OS.,,,TRUE,,,,,,,,,,,,,,,,,,,,,
Consensus,IOS-SIR,Impact of OS - Student interest in research,Participant expresses that using OS practices can increase student interest in research and the research process,,,TRUE,,,,,,,,,,,,,,,,,,,,,
Consensus,IOS-ST,Impact of OS - Saves Time,Participants expresses that using an OS practice(s) saves time in the research process,,,TRUE,,,,,,,,,,,,,,,,,,,,,
Consensus,IOS-T,Impact of OS - Teaching,"OS can have an impact on teaching (e.g., easier access to case studies)",,,TRUE,,,,,,,,,,,,,,,,,,,,,
Consensus,IOS-Tr,Impact of OS - Transparency,Participant describes how adopting an OS practice would increase transparency into the research process,,,TRUE,,,,,,,,,,,,,,,,,,,,,
Consensus,KOP-NIH,Knowledge of Procedures- NIH,"Participant knows about NIH policies that facilitate OS practices, such as guidelines for making publication free with the embargo period or new requirements for sharing data (e.g., participant is describing a process)",,,TRUE,,,,,,,,,,,,,,,,,,,,,
Consensus,KOP-OD,Knowledge of Procedures - Open Data,Participant demonstrates knowledge of open data procedures,,,TRUE,,,,,,,,,,,,,,,,,,,,,
Consensus,KOP-OM,Knowledge of Procedures - Open Materials,"Participant describes their knowledge of open materials (e.g., using GitHub)",Might want to recheck previous transcripts if we add this code?,,TRUE,,,,,,,,,,,,,,,,,,,,,
Consensus,KOP-PR,Knowledge of Procedures- Preregistration,Participant demonstrates or describes knowledge of preregistration,,,TRUE,,,,,,,,,,,,,,,,,,,,,
Consensus,KOP-SA,Knowledge of procedures - self-archiving,Participant demonstrates or describes knowledge of the self-archiving procedure,,,TRUE,,,,,,,,,,,,,,,,,,,,,
Consensus,LOA-IR,Lack of awareness - institutional repository,"Lack of awareness of open science procedures, specifically referencing institutional repository",Might be the reverse of KOP code,,TRUE,,,,,,,,,,,,,,,,,,,,,
Consensus,LP-A,Learning Preferences - Accessible,"Something they can access whenever they want or that it can be done on their own time, own pacing",,,TRUE,,,,,,,,,,,,,,,,,,,,,
Consensus,LP-C,Learning Preference - Content,Participant details specific content to include in OS training,,,TRUE,,,,,,,,,,,,,,,,,,,,,
Consensus,LP-CP,Learning Preference - Conference Presentation,"Participant wants to learn about OS practices via a conference presentation (e.g., ASHA)",,,TRUE,,,,,,,,,,,,,,,,,,,,,
Consensus,LP-H ,Learning Preferences - Handouts ,"Participant wants to learn about OS through handouts. Handouts include digital and physical copies of information, including but not limited to, written information and infographics",,,TRUE,,,,,,,,,,,,,,,,,,,,,
Consensus,LP-HA,Learning Preference - Hold Accountable,"Participant expresses they want someone to hold them accountable while learning about OS, such as a working group",can also be part of the interactive code,,TRUE,,,,,,,,,,,,,,,,,,,,,
Consensus,LP-I,Learning Preference - Interactive,Participant wants to learn about OS via an interactive medium where they can ask questions,needs to say interactive or engaging with others in some way,,TRUE,,,,,,,,,,,,,,,,,,,,,
Consensus,LP-MS,Learning Preference - Mentor Support,Participant expresses that they would like to have a mentor to support them learning an OS practice,,,TRUE,,,,,,,,,,,,,,,,,,,,,
Consensus,LP-P,Learning Preference - Procedure,"Participant wants a procedure, detailing step-by-step instructions of how to engage in an OS practice",,,TRUE,,,,,,,,,,,,,,,,,,,,,
Consensus,LP-PC,Learning Preference - Point of Contact,Participant describes wanting a person or an email to go to to ask their OS questions,,,TRUE,,,,,,,,,,,,,,,,,,,,,
Consensus,LP-PPOV,Learning Preference - Publisher Point of View,Participant mentioned they want to hear a person from the publisher/journal express what they are allowed/not allowed to do.,"This may be expanded later to include other ""sources""",,TRUE,,,,,,,,,,,,,,,,,,,,,
Consensus,LP-S,Learning Preferences - Short,Participant wants to learn about OS through something short (ex. handout),,,TRUE,,,,,,,,,,,,,,,,,,,,,
Consensus,LP-V,Learning Preferences - Videos,Participant wants to learn about OS through videos,,,TRUE,,,,,,,,,,,,,,,,,,,,,
Consensus,LP-W,Learning Preference - Workshop or Webinar,Participant wants to learn about OS practices via a workshop or webinar,,,TRUE,,,,,,,,,,,,,,,,,,,,,
Consensus,LP-Web,Learning Preference - Website,Participant wants to learn about OS practices via a website that would be updated and a go-to spot for information,,,TRUE,,,,,,,,,,,,,,,,,,,,,
Consensus,LP-WG,Learning Preference - Working Group,Participant expresses that they would like a working group or cohort group to discuss problems and solutions for implementing OS in their research workflow.,,,TRUE,,,,,,,,,,,,,,,,,,,,,
Consensus,LPE-OA,Lack of previous experience - Open Access,Participant specifically mentions they do not have any prior experience with open access efforts,,,TRUE,,,,,,,,,,,,,,,,,,,,,
Consensus,LPE-OD,Lack of previous experience - Open Data,Participant specifically mentions they do not have any prior experience with open data,,,TRUE,,,,,,,,,,,,,,,,,,,,,
Consensus,LPE-OS,Lack of previous experience- Open Science ,Participant mentions that they lack previous experience (or have limited experience) with open science practices,,,TRUE,,,,,,,,,,,,,,,,,,,,,
Consensus,LPE-PR,Lack of Previous Experience - Preregistration,Participant expresses that they have not preregistered before or have very limited experience with preregistering,,,TRUE,,,,,,,,,,,,,,,,,,,,,
Consensus,LPE-SA,Lack of previous experience - Self Archiving,Participant specifically mentions they do not have any prior experience with self-archiving efforts,,,TRUE,,,,,,,,,,,,,,,,,,,,,
Consensus,M-OS,Motivated -  Open Science,"Participant expresses being motivated to learn more or engage in open science practices, generally",,,TRUE,,,,,,,,,,,,,,,,,,,,,
Consensus,M-SA,Motivated - Self Archiving,Participant says they are motivated to self-archive,,,TRUE,,,,,,,,,,,,,,,,,,,,,
Consensus,MUR,Manuscript available upon request,Participant will share the manuscript if they are directly asked for it.,,,TRUE,,,,,,,,,,,,,,,,,,,,,
Consensus,N-OD,Nervous - Open Data,Nervous feelings about sharing open data,,,TRUE,,,,,,,,,,,,,,,,,,,,,
Consensus,N-SA,Nervous - Self Archiving,"Participant is nervous about self archiving, what they're allowed to ""do""",,,TRUE,,,,,,,,,,,,,,,,,,,,,
Consensus,P-OD,Permission - Open Data,Discussing permission from participants to share their data,,,TRUE,,,,,,,,,,,,,,,,,,,,,
Consensus,P-SA,Permission - Self-archiving,"Discussion permission from coauthors to self-archive, may later include others in this definition...",,,TRUE,,,,,,,,,,,,,,,,,,,,,
Consensus,PE-NIH,prior experience - NIH,Participant has followed the NIH guidelines for making publication free with the embargo period,,,TRUE,,,,,,,,,,,,,,,,,,,,,
Consensus,PE-OA,prior experience - open access,Describing a prior experience publishing open access (includes related experiences such as teaching others about OA),,,TRUE,,,,,,,,,,,,,,,,,,,,,
Consensus,PE-OD,prior experience - open data,Describing a prior experience sharing data publicly (includes related experiences such as teaching others about OD),,,TRUE,,,,,,,,,,,,,,,,,,,,,
Consensus,PE-OER,Prior Experience - Open Educational Resources,"Describing a prior experience with OERs, E.g. they expressed they were on a task force to encourage OERs at their university. (includes related experiences such as teaching others about OERs)",,,TRUE,,,,,,,,,,,,,,,,,,,,,
Consensus,PE-OM,prior experience - sharing materials,"Sharing protocols, stimuli, general materials that are not the manuscript.",Does this also include teaching materials?,,TRUE,,,,,,,,,,,,,,,,,,,,,
Consensus,PE-OPR,Prior Experience - Open Peer Review,Describing prior experience with open peer review process (includes related experiences such as teaching others about OPR),,,TRUE,,,,,,,,,,,,,,,,,,,,,
Consensus,PE-PR,Prior Experience - Preregistration,"Describing a prior experience preregistering a study or teaching others (e.g., their students) how to preregister",Expand other PE codes to include teaching experiences as well?,,TRUE,,,,,,,,,,,,,,,,,,,,,
Consensus,PE-SA,prior experience - self-archiving,"Participant describes their previous experience self-archiving. The comment indicates that the participant is doing the self-archiving, or teaching someone else to self-archive.",Only refers to manuscripts (may lump with SARP later),,TRUE,,,,,,,,,,,,,,,,,,,,,
Consensus,PE-SARP,prior experience - self-archiving research products,"Presentation slides and posters, NOT manuscript",,,TRUE,,,,,,,,,,,,,,,,,,,,,
Consensus,PW,Personal website,"Using a personal website for OS purposes (personal, lab website)",,,TRUE,,,,,,,,,,,,,,,,,,,,,
Consensus,R-UCSD,Resources - used CSDisseminate resources,"Participant has utilized CSDisseminate resources (e.g., referenced website, attended a training)",This is different from a general awareness/having heard of CSDisseminate. May be double coded with edu-webinar,,TRUE,,,,,,,,,,,,,,,,,,,,,
Consensus,SJ,Self Judgement,"Participant demonstrates self-judgement about how they do or do not engage in OS practices, speaking more generally and not as a specific barrier to engaging in OS. Participant expresses they feel like a ""lousy"" or ""bad"" researcher because they do/do not do an OS practice.","Example: ""I know that that's not as good as like sharing the data publicly""",,TRUE,,,,,,,,,,,,,,,,,,,,,
Consensus,TE-CP,Training Experience - Conference Presentation,Participant says that they have learned about OS/OD/OA/SA/PR through a conference presentation,,,TRUE,,,,,,,,,,,,,,,,,,,,,
Consensus,TE-CS,Training Experience - Collaborator Support,Participant expresses that workign with a collaborator taught them alot about OS/an individual OS practice,This would be double coded with the TE-OS/OD/SA/PR,,TRUE,,,,,,,,,,,,,,,,,,,,,
Consensus,TE-LFO,Training experience-learning from others,"Participant discusses learning about OS/how to engage in OS through seeing how others engage in OS (e.g., seeing what others share on OSF) or talking with others about OS",,,TRUE,,,,,,,,,,,,,,,,,,,,,
Consensus,TE-NE,Training experience - not extensive,Previous training (either a specific webinar OR training experience in general with OS) was not extensive,AWL,,TRUE,,,,,,,,,,,,,,,,,,,,,
Consensus,TE-NT,Training experience - no training,Discussed not having any preious OS training experience ,,,TRUE,,,,,,,,,,,,,,,,,,,,,
Consensus,TE-OA,Training Experience - Open Access,Specifically discussed training experience with open access,,,TRUE,,,,,,,,,,,,,,,,,,,,,
Consensus,TE-OD,Training experience - open data,Specifically discussed training experience with open data,[AT2]NEW: SJ,,TRUE,,,,,,,,,,,,,,,,,,,,,
Consensus,TE-OER,Training experience- Open educational resources,Participant discussed receiving training about open educational resources.,,,,,,,,,,,,,,,,,,,,,,,,
Consensus,TE-OM,Training Experience - Open Materials,Training experience relating to open materials (i.e. sharing code),,,TRUE,,,,,,,,,,,,,,,,,,,,,
Consensus,TE-OR,Training Experience - Open Resources,"Training was received by accessing online materials hosted by different organizations (i.e. OSF, Society for Neuroscience)",,,TRUE,,,,,,,,,,,,,,,,,,,,,
Consensus,TE-OS,Training experience - open science,Discussed previous training with OS but did not specify which practice,,,TRUE,,,,,,,,,,,,,,,,,,,,,
