"","Subcategory","RQ","axialCode","initialCode","codeName","definition","N","Examples"
"11","1.9 - Resources","1,2","B-R","B-CX","Barrier - Complex","Participant describing that a barrier to engaging in an OS practice is that it is complex, multiple steps, or that it takes additional effort",19,"so it just seems like there's multiple steps that even if I got something published which I don't have many publications. // But then the process of like creating the the website or the repository, or wherever it's going to be. It just seems like there's multiple steps, // But it's so many steps, and like clicking and digging through everything // And then sharing data is a little more complicated, I would say, from my perspective. // And every time I look into, you know, dig into the requirements for the journal, and I pull up the page, and I use the site that you can search for requirements. And still, it's really confusing to me. // And so I just need to understand, like for me, facilitating this process would be. I need to figure out what is my hierarchy? Who do I talk to? How do I get this all figured out?  Which could be a me problem and it's not something that everyone else deals with. But...it's...there's just a lot out there. Of like layers. // This should be a straightforward thing. But there's all these things that make it difficult to actually implement. // And then, like my dissertation data, I have it in my IRB that I can do it. But you know, life got in the way, and it just didn't happen, because it is something new, and it takes more effort. And I had to finish over that // I actually think that that this is starting to be a discussion, though I'm sorry. But I actually think this accessibility might be be useful as a barrier. So only people who are really dedicated will will work on it. It’s accessible to everyone. But it's not  that that just everyone can just pick it up and do something with it. // But also make it less time and effortful, effortless?  // It need to be carefully done, and it requires technical skills,  //  the paperwork it takes to get access. And to upload data was very lengthy, at least for me as a user just as a user I I didn't even upload my own data. I wanted to get access to a shareable data on the website. It took forever, just to get all the paperwork done so.  // I mean, I'm sure we'll get into some of this, but so overwhelming to think about where to start with these things right? // And for code I haven't figured out how to do that efficiently, because my code is always a slew of comments to myself that I don't necessarily want on...accessible to everyone. More just because it's very informal to me. And so there always feels like there needs to be a cleaning step which just feels unnecessary, but also necessary. // It's a really good point, yeah, about making...or how to make your practices efficient and work for because it does just feel, I mean, at least at this point for me feels like this extra big step that is like, how do I even do this with everything else going on? // We struggled with the actual process of putting the the protocol up on OSF. We found it really confusing about what kind of project or document we were putting up and ended up with two different projects, I guess. Then one of them you could change one of them you couldn’t, and when you can find XX and one you can't. And so it was really hard navigating Open Science Framework by ourselves, even with the help of our librarian. So that's been a big challenge for us. // And so it does feel like this big thing to add on to the beginning, or wherever in your project // I think the time element resonates for me. But in the stage of preparing whatever I have<P>to make freely available. So, for example, some journals require that you submit the figures as separate attachments, and so then they appear at the end of the manuscript. As a reader I really don't like reading things that way. So I do want to take the time to put the figures and the captions and the tables in where they would be. But again, that feels like this extra set of steps. And then there's other, you know, versions of that same sort of dilemma of how much modification to make to something, just to make it freely available. Not just to make it freely available. That's very important. But if I'm just trying to get it closer and closer to what the final published version looks like it...Right? It it's again this sort of time-effort trade off. // And then, if you're like, I collaborate with tons of universities. So then you have to set up a data sharing agreement which goes through legal, which takes three months to do and so you've just got some locality attached to it, too, and it slows everything down, and or you just don't pursue it."
"12","1.8 - Past Experience","1,2","B-D","B-D","Barrier - Different","Participant describes a barrier to using OS practices is that it's not how they've done research before",4,"What everyone saying is making me realize that I think the biggest barriers is that we just aren't used to doing it.  // But you know this wasn't how we did research. What we did is, we would kind of come up with our analysis plans, you know, as we're going along. // It's just this is so antithetical to how we've been doing research forever. I think that's what I feel like is the big barrier, you know. // Like, I'm in a department where literally everyone has been here for over 20 years, and none of them are doing open science because they don't. They don't need it. They they don't perceive that it's important."
"13","1.6 - Attitudes","1,2","B-DI","B-DI","Barrier- Data Interpretation","Participant expresses that a barrier to using an OS practice is that someone won't know how to correctly interpret the data and/or information shared",2,"I use R and then I can get like a print out of what all the codes mean and everything. But then it's also trying to make sure that everybody understands the... I guess the the experiment itself, and the purpose of it, because I feel like that's always dangerous when you're sharing data. They may say, oh, there's a limitation in this data but it's like, well, that wasn't a focus. The focus was here. So I think there's just making sure interpretation of the data is done properly. And so how can I do that? // You you don't want people to misunderstand what the data was for. So there there need to be metadata."
"14","1.6 - Attitudes","1,2","B-F","B-F","Barrier - Fear","Participant expresses that fear is a barrier to engage in an OS practice, fear of reprocussions (i.e., getting sued from journals)",9,"So there's something kind of scary about coming up with an analysis plan and sticking to it ahead of time.  // I don't know if journals are on Research Gate looking for academics to sue or whatever. But I don't want to find out.  // I just don't wanna get sued for sharing my own work that I that I worked on it's a little bit ridiculous that we're not allowed to share our own work.  // and you know, as a pre- tenure assistant professor, I'm also very conscious of making sure that that I have data to publish, and making sure that I'm not just looking negative in any way to potential publishers. And unfortunately, that's just the reality of it. // Because that's kind of been my limiting factor, and just again making sure I I do it right, and I kind of protect myself pre tenure. // I agree with that. I would also say that the self-archiving piece always kind of makes me worry that someone mentioned previously about which version you're going to put out there, and I'm always really nervous unless I have an open access paper that I paid for. I know I can put that anywhere, but if it's not open access like which version can I put up individual independently, because I don't want to like have to go to court because I did something wrong. I'm probably catastrophizing it, but that for me. // Additionally, you know, my IRB, sometimes I I perceive them as kind of like worrying about things excessively. So if I were to share data openly, I'm worried that the IRB would shut that down at my university, or I would face backlash from them. // It's kind of the vulnerability of posting your ideas before you've done this study. // The good point too I guess, this goes back to barriers. But having had the experiences we've had with IRB and data sharing, it does feel very daunting to to try to get something like this through when you've had such hard and challenges with it in the past. Right? so I don't know. Sorry. That's not really. There's no facilitator in there, but I think it's a good point."
"15","1.3 - Study components","1,2","B-FR","B-FR","Barrier - Formatting Requirements","Participant expresses that formatting requirements for data is a barrier for engaging in an OS practice.",6,"And as part of my postdoc, like I had, I was the one who had to format the data for that thing. And it was it was horrible like, and I know we kept. They kept coming back. It was not formatted correctly like, and I had the time like that was like part of my job then // So for me, I guess it's one of the things is like how to format the data, and also format the protocol in a kind of accessible way to others. I know like different labs do different things. So how to format in a way that everyone can understand. I think that's..sounds like takes a little bit of effort. It's really like when we writing code. Sometimes we understand our code, but not necessarily others understand our code. So, there's something, maybe, to learn about how to make more accessible. // I was talking about just like how to format it. // I think the amount ofalso related to formatting as well. // And for code I haven't figured out how to do that efficiently, because my code is always a slew of comments to myself that I don't necessarily want on...accessible to everyone. More just because it's very informal to me. And so there always feels like there needs to be a cleaning step which just feels unnecessary, but also necessary. //  I think that it was X who said this before about like having to clean up your data, your<P>protocol or code, or whatever it is that you have created for yourself. Yeah, lots of internal notes that makes sense to me, but would look really ridiculous if I put them out for everyone to see. So just knowing, like a a kind of general good format for these things."
"16","1.1 - Expectations, policies, regulations","1,2","B-I","B-I","Barrier - Institutional ","Participant describes a barrier to engaging in an OS practice that is related to rules/regulations/procedures of their institution (consider extending the B-LIS code)",10,"I tried to put up free, legal versions of previous manuscripts on my department website, but was told that I had to adhere to a particular format that didn't allow for publications to be posted on there. So, as it turns out, I wasn't able to. // The university has a special format of how they want you to have your profile set up on the University website. So there's limitations to perhaps what can be posted there. // The other element of this is that I am at a university that is a regional campus of a flagship state school. And so there's department, college, university here and then there is what we jokingly refer to as the mothership downstate. And then there's all of their rules. And so I just need to understand, like for me, facilitating this process would be. I need to figure out what is my hierarchy? Who do I talk to? How do I get this all figured out?  Which could be a me problem and it's not something that everyone else deals with. But...it's...there's just a lot out there. Of like layers. // And so then I went to the person who manages the faculty websites, and said, hey, I want to do this thing. It's this movement within the field to be more transparent, open. And she said. Oh, well, a lot of faculty end up forgetting to update their manuscript list, so we just don't allow them to be posted at all. So like well, you know. So that was just one example of trying to put in the work and then meeting resistance due to all of these layers, and figuring. Well, you know. This should be a straightforward thing. But there's all these things that make it difficult to actually implement. // I would say IT support to get everything up on our University affiliated website. So making sure like, because I can't post directly to my my like University website. It has to go through our IT team. So that's sometimes super efficient. And other times really not. // Well, the only barrier is what what what the University's policy is. // But, there's so many people interested in it that the waitlist is very long, and we it's been like 8 months now, and I still haven't been contacted for that. // I don't have access to my website. It's run by the PR at the university. And it's just, you know, six extra emails for me to get the paper up there. Per paper.  // The lack of control of the university run website is a big barrier. I am able to put links on mine but I have to go through our department administrator, who isn't very tech, savvy. And so that is a huge barrier for me. // My universities and R1, I think many of us here at our R1 or similar. And you have to apply for like an open access fund for not covered ones. But most of the publishers want the money within like 2 weeks of acceptance, and that is just not gonna to happen with getting funds from the university that fast. So the idea is nice, but the whole, like how it pans out is not so great."
"17","1.3 - Study components","1,2","B-ID","B-ID","Barrier - Identifiable Data","A barrier to OS (e.g., open data sharing) is identifiable data, such as audio recordings",6,"It would be that almost to the point where you could potentially figure out who they are, if you know where the study was conducted, and kind of some of the specifics of their disease // I'm worried that you know the more my participants share, the harder it's going to be to completely de-identify them // I was trying to decide how to frame it as a facilitator but I just I don't know if there is a way to like. So our IRB here thinks that audio recordings, and I don't know how true this is for other places, but those are identifiable, especially with the low n like X was saying // And making sure it's de-identified, and you know, like the stress was making sure everything's de-identified // We have multi-modal data, including for example, video, audiom speech sample, that can be identifiable. They're They're just lot of issues that we need to deal with before uploading and the deidentifying to the best we can for data sharing. // The moving target nature of the IRB also plays a role and and in the specifically with with what level of data you want to share. So we haven't run into any issues sharing like derived acoustic measures, and data of that form. But I'd love to be able to share speech samples actual, you know, audio recordings? And in some institutions, one of my previous institutions that that itself is considered personally identifiable data, just the audio recordings of speech."
"18","1.1 - Expectations, policies, regulations","1,2","B-I","B-IRB","Barrier - IRB","IRB is a barrier to adopting OS practices (e.g., IRB rules prevent sharing of data)",7,"My IRB is not willing to let me put anything online like I've I've asked their permission to put things on on like the childes database website, and they refuse. // Additionally, you know, my IRB, sometimes I I perceive them as kind of like worrying about things excessively. So if I were to share data openly, I'm worried that the IRB would shut that down at my university, or I would face backlash from them. // Yeah, it's definitely a moving target with IRBs. We've we've had some issues with that for sure. So we're working on it. But it's it's a hard one. // And I mean particularly for what I do using speech samples is always a challenge with IRB and how you know, sharing that data. And but I think it's so important. And how how do we do that, and how you navigate the IRB to make that happen. I think are big challenges that I'm interested in learning more about. // Ours has been the IRB just changing what it interprets as shareable versus not like having we didn't used to have to get explicit yes’s to X's point earlier of sharing Xyz. Now it's explicit yes, which is what it should be. But they've just changed, you know, having to require that. // The moving target nature of the IRB also plays a role and and in the specifically with with what level of data you want to share. So we haven't run into any issues sharing like derived acoustic measures, and data of that form. But I'd love to be able to share speech samples actual, you know, audio recordings? And in some institutions, one of my previous institutions that that itself is considered personally identifiable data, just the audio recordings of speech. // The good point too I guess, this goes back to barriers. But having had the experiences we've had with IRB and data sharing, it does feel very daunting to to try to get something like this through when you've had such hard and challenges with it in the past. Right? so I don't know. Sorry. That's not really. There's no facilitator in there, but I think it's a good point."
"19","1.7 - Training/Knowledge","1,2","B-KOP","B-KJP","Barrer - Knowledge Journal Policies ","Participant does not have the knowledge of the journal policies, OR that having to seek out the journal policies is a barrier",13,"5: I think the biggest one is just knowing like when it's allowed. If you know, if it's not really clear in the journal if that's okay, then that's the biggest barrier for me. // I don't make it publicly available just because I don't want. I don't know if journals are on Research Gate looking for academics to sue or whatever. But I don't want to find out. So that I think just the fact that each journal has very specific requirements makes me nervous. // I don't know what I'm allowed to do, and I like...every journal has different rules, so it's not even like I can just say like, oh, I'm allowed to do X. Because ASHA has a different rule compared to you know, Clinical Linguistics and Phonetics,  // and you know, as a pre- tenure assistant professor, I'm also very conscious of making sure that that I have data to publish, and making sure that I'm not just looking negative in any way to potential publishers. And unfortunately, that's just the reality of it. // And I would love to hear that from a publisher standpoint. I would love to hear from. You know someone who who does work for a peer-reviewed publication to say, this is okay, this is not. Because that's kind of been my limiting factor, and just again making sure I I do it right, and I kind of protect myself pre tenure. // I agree with that. I would also say that the self-archiving piece always kind of makes me worry that someone mentioned previously about which version you're going to put out there, and I'm always really nervous unless I have an open access paper that I paid for. I know I can put that anywhere, but if it's not open access like which version can I put up individual independently, because I don't want to like have to go to court because I did something wrong. I'm probably catastrophizing it, but that for me. // It kind of came up earlier, but just keeping track of what versions are allowed for which journal.  // And like figuring out the different things for different journals. // Well, I kind of mentioned this earlier, but I, to me the biggest barrier is time especially going backwards. Both the time to figure out which version, if for each article or each journal is legally allowed to be shared, and then finding that version and posting it somewhere, and that is not a small time investment in that. So that's been, to me, the biggest barrier. // For me, understanding what are the things that I need to legally look out for, and just kind of making sure that it's all good before I do it. So that's kind of where I’m at. // Yeah, I agree also even after the CSDisseminate talk about self archiving, we still, in the in my lab, are struggling to find the rules for each publisher, and it seems like every time we look they are a little bit different. So that's been a really big challenge. // The barrier for me is the legality as we talked about before, and you know, what are you allowed to do when you're not allowed to do? That's really the barrier for me. // But really it's it's more about not having the knowledge of what we can and kind of can't do, and where."
"20","1.7 - Training/Knowledge","1,2","B-KOP","B-KOP","Barrier - Knowledge of Procedures","Opposite of F-KOP. Participant expresses that a lack of knowledge of procedures for using OS practices prevents them from using these practices.",5,"Like I'm at an R2 institution. So we're...and I’d done my PhD in an R1, and I found that just that little change in category makes a huge difference in what's available to us, as far as knowledge and process and procedures // The only problem I've had with that is recently I submitted to a conference where they required double blind review. And then it's kind of not possible to ha...I don't know how to do the double-blind code because there was no way to upload it, so we just didn't include it. But I felt like that was kind of a missed opportunity. So, if people know and have dealt with that, I'd love to hear that. // when to do that, and when to submit it // We struggled with the actual process of putting the the protocol up on OSF. We found it really confusing about what kind of project or document we were putting up and ended up with two different projects, I guess. Then one of them you could change one of them you couldn’t, and when you can find XX and one you can't. And so it was really hard navigating Open Science Framework by ourselves, even with the help of our librarian. So that's been a big challenge for us. // But mostly it's time, confusion about how to do it, what details I need to have, how much detail to go into, those kinds of things. And some of it, too, that's been, probably there's probably real easy to find answers for this. But, like the analysis plan, do I need to have<P>alternative analyses if, like, my data don't need the assumptions for the first proposed analysis, like how much detail."
"21","1.6 - Attitudes","1,2","B-LOB","B-LOB","Barrier - Lack of Benefit ","Participant expresses that they do not see much benefit, or they do not know the benefits to themselves, to using an OS practice",10,"I don't perceive a lot of benefit to myself, and that sounds selfish because it is, but I have to watch out for my own time. And so yeah, I just don't see a lot of external motivation, // But yeah, just lack of external motivation or incentives. // I guess. To me, I mean this isn't a direct answer to this question, but I'm not really sure what the benefits are of preregistering my study. So I think I I need to have a better understanding of why it's beneficial to do that before putting the time into figuring out how to do that. // But yeah, I I I would. I would agree with X that if you don't necessarily see the benefit, then why why, invest the time in doing this.  // I think one of the barriers is is the value of the data set. I always feel that there is more in it than this. Just this one publication. So I'm, for for those reasons I'm reluctant to sharing, because I always think like there's like two more publications in this data set. So why would I give that away? // So it does also have this sinking cost in in your, in your tenure track // For me it kind of feels like more of a change in mindset that needs to happen. I think of like, why this is important, and that I should spend the time on it. // It's not clear that right now that the time that is required to do all this stuff actually helps us at this stage. // There are some smaller society journals. It's kind of a balance between like a less impactful journal that's open access and a more impact for a journal that's gonna cost $3,000 plus the open access fee which I don't have and don't want to pay. But you know it's like Neurobiology of Language isn’t indexed in PubMed and so then what are you even publishing there for? But it is free for people to access. // I think, prioritizing it is questionable in my mind, because it's not clear to me what the payoff is at this point for science or for my career."
"22","1.5 - Personal","1,2","B-LOC","B-LOC","Barrier - Lack of Confidence","Participant expresses concern about engaging in OS due to lack of confidence/imposter syndrome related to their own research skills/abilities",3,"I feel like my studies aren't big enough for important enough or using the right methods to preregister. // I just<P>maybe I just have imposter syndrome or something, but I also don't feel very confident in develop...I obviously I have a PhD. Like, I know how to sort of develop research questions, hypotheses, methods, and an analysis plan. But I I again feel very anxious putting it out there for everybody else, especially like before I'm finished with it, because I feel like I might have missed something, or it just gives me a little bit of anxiety because I still don't feel super confident. // My methods changed mid-dissertation. My analysis plan changed mid-dissertation. I know that's poor quality, because, you know, obviously I should have all of that outlined ahead of time, and I should be held accountable to following those, you know, procedures. But I just still feel like, hey, I'm a lousy researcher. My plan A probably isn't going to work out."
"23","1.5 - Personal","1,2","B-LOO","B-LOO","Barrier - Lack of Organization","Participant expresses that their organizational practices are a barrier to engaging in an OS practice.",3,"It's just honestly my own organizational practices are the biggest barrier for me preregistering. // But I agree with the previous comment that just getting yourself organized and put together like even writing the preregistration can take weeks to get yourself set up and ready to go //  I think that it was X who said this before about like having to clean up your data, your<P>protocol or code, or whatever it is that you have created for yourself. Yeah, lots of internal notes that makes sense to me, but would look really ridiculous if I put them out for everyone to see. So just knowing, like a a kind of general good format for these things."
"24","1.9 - Resources","1,2","B-R","B-M","Barrier - Money","Money is a barrier to adopting OS practices. They do not have the money, or feel like they cannot obtain it.",23,"when it comes to gold open access I'd like to learn more about funding mechanisms because to publish gold open access is just so expensive and like what what's the best way to get that money? // Money is really the only barrier. As far as I can tell. // I tried to write funds for open access, publishing into my startup, and I was denied so. But I guess that would be a barrier, but it would have helped.  // Open access fees...The gold open access fees cost more than I'm allotted for research each year.  // For me, You know. I'm curious about like how to kind of manage the cost of publishing open access. Because typically, just to publish doesn't cost anything but making it open access adds a cost. So, I don't know if my university would be willing to cover that. // I think the biggest barrier is, where do you find the funds to be able to pay for open access? I think that's the biggest in smaller departments like ours. // I would add that that the funding is a huge issue. Specifically, when you're not in an R rated institution right? Because we don't have research assistance. We don't have lab space. We don't have let alone, just flat out cash to pay for an open access readership. // That's what I was gonna share is just the cost associated with it. My university university doesn't have a lot of funding. I have no experience with grant writing, so I don't even really know how to access funding for opportunities like this. // But you know I I am at an institution that it's an R2, specifically, and the vibe here has always been uou pay for it yourself. // I know my library also has that, but the money is distributed equally between authors. So if there's three authors on my paper, my library is only going to pay for the one-third for me, and then the other 2 thirds, even even if I'm first author, then the other 2 thirds need to be covered by someone else. So that makes it a little bit difficult at my institution. //  maybe this is just me being idealistic, but you know we already don't get any financial kickback from publishing, and so I feel like the cost associated with publishing open access is pretty inequitable. We, I mean, at my university unfortunately, like we are, we we don't get paid like a very high salary and trying to bridge that research to practice gap through open access, then basically punishing us by making us pay for something when we already don't get any monetary gain from publishing it. Personally, it makes no sense to me, so I don't see like, if the idea is open access, then why do we have to pay still for open access? That seems like it doesn't accomplish the spirit of open access science. // To me, there's like 2 parts: the first is publish in open access journals. So that's something, I think, as a very junior PI that's kind of a financial burdens a lot. So because, like where my PI has a lot of money. So I don't need to worry about that. But like for myself, that's something I think will be something I need to consider seriously when I’m thinking about which journal to submit to // I guess all of these sound interesting, but the a lot of people have mentioned the financial burden of open access, so the gold open access. // Certainly the cost. I think that's the obvious answer, but especially the cost for junior investigators who might not have big you know, externally funded grants as we're building our program of research. And so some of the some of the smaller internal and external grants that are awarded early in your career just simply don't have the the budget to support that line item. // I agree, and they're also vastly different by journal. The amount of money that it is. I know somebody who recently had an article accepted to nature neuroscience, and their open access fee is $13,000. And so why would I pay that versus paying for a graduate student, or like part of a research assistant? It's crazy to me like I would love to support open access, but that is, I think, that's way too much...They didn't pay it. // It’s just you have to figure in the amount of money beforehand. // which is a huge barrier for those of us who are all early in our career, because it's like, don't know how much I have laying around. That's, you know, $12,000 for 4 papers. So that's the other fun experience I've had. // The fee. // Yeah, for sure. The money. When you're in a lab that has a ton of funding, great let's do it. And when you are almost out of your startup funds, and you’re a new faculty like this is not the top priority for where that funding goes. // There are some smaller society journals. It's kind of a balance between like a less impactful journal that's open access and a more impact for a journal that's gonna cost $3,000 plus the open access fee which I don't have and don't want to pay. But you know it's like Neurobiology of Language isn’t indexed in PubMed and so then what are you even publishing there for? But it is free for people to access. // I think we all have a problem with we're doing all this work, and it goes to other publishers, and it's not ours. And we don't get compensated for being authors or being reviewers. That's like a side thing I think we all struggle with. But then adding what X was saying, that we’re gonna pay for it seems like it shouldn't come on us. // Well, it's not really been an option for me, because my startup is running out, so I don't even have this money so, but I have thought about it, and wondered should I do it? // My universities and R1, I think many of us here at our R1 or similar. And you have to apply for like an open access fund for not covered ones. But most of the publishers want the money within like 2 weeks of acceptance, and that is just not gonna to happen with getting funds from the university that fast. So the idea is nice, but the whole, like how it pans out is not so great."
"25","1.1 - Expectations, policies, regulations","1,2","B-NE","B-NE","Barrier - No Expectations","Participant describing that a barrier to engaging in an OS practice is that there aren't any external expectations or requirements to do so such as a tenure committee",10,"none of them are pressing, and I don't know about anybody else, but I really respond well to deadlines and pressure, and so this never has a deadline or pressure, so it's never at the top of my list. // I work at a teaching school. Open access fees...The gold open access fees cost more than I'm allotted for research each year. I don't care that much about impact factors. I just want my words on paper. I don't need to submit to the top tier journals.  // but because my university is not a research focused university, I don't think open access for research is as much of a concern. Especially because our tenure and promotion expectations are going to be lower because we're not a research focused institution. // because right now I feel like I'm I lack the motivation to do right preregistration, because it's not something that is, looked for, say, in my promotion or tenure reviews, and it's not valued by my university. // I don't perceive a lot of benefit to myself, and that sounds selfish because it is, but I have to watch out for my own time. And so yeah, I just don't see a lot of external motivation, // But yeah, just lack of external motivation or incentives. // And then, actually, in my Phd program, I learned how to use GitHub. But my PI didn't use R or anything like that. And so then it became more of like a niche for me, and no one used it, and so I haven't used it for a while. But I need to get back to it as I am starting to do a lot on my own. // So it does also have this sinking cost in in your, in your tenure track // And I think, to X's point previously about this, like stigma kind of with some of the journals anyways. And I'm not even totally sure if that's true or not right? So like education about actually, you know what it means. And if it's a bad thing, right? Then how do committees look at like tenure committees look at that? Things like that. // Yeah, this is fresh in my mind, because I'm like deep in doing this right now, but like the tenure process doesn't care, they literally don't care. And so there's no incentive there whatsoever like never have I been asked about it, Like I make a specific section about it that I've been told to cut by multiple people which I'm not going to do. But it's not incentivized terribly well. And I think many of us, you know, it's like we're not. That's not the end goal is to know, you know, do this to receive tenure. But it's it's very not helping. When you're, you know, trying to choose what to spend your time on."
